"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000075420" 3438 2068 3168 1385 1570 2079
"ENSG00000230497" 0 0 0 0 0 0
"ENSG00000244515" 0 5 4 1 1 0
"ENSG00000239628" 0 0 0 0 0 0
"ENSG00000241767" 0 0 0 0 0 0
"ENSG00000248530" 0 0 1 0 0 0
"ENSG00000090402" 0 0 0 0 0 0
"ENSG00000163584" 2957 6345 6752 1493 1690 1543
"ENSG00000144962" 0 0 0 0 0 0
"ENSG00000241479" 0 0 0 0 0 0
"ENSG00000239219" 0 0 0 0 1 0
"ENSG00000231384" 2 0 1 0 0 0
"ENSG00000173890" 178 261 244 184 155 200
"ENSG00000114098" 732 919 1035 488 543 525
"ENSG00000242326" 0 0 0 0 0 0
"ENSG00000069849" 2503 2120 2554 874 898 1037
"ENSG00000261758" 1 1 9 4 5 1
"ENSG00000243822" 0 0 0 0 0 0
"ENSG00000242178" 0 0 0 0 0 0
"ENSG00000244381" 0 0 0 0 0 0
"ENSG00000168827" 2463 3865 4199 1721 2226 1820
"ENSG00000248459" 0 0 0 0 0 0
"ENSG00000285218" 4 0 0 0 0 0
"ENSG00000186329" 0 1 0 0 0 0
"ENSG00000279862" 3 9 9 0 5 5
"ENSG00000163645" 1 2 0 0 0 0
"ENSG00000240128" 0 0 0 0 0 0
"ENSG00000239213" 15 27 24 10 8 12
"ENSG00000163655" 5985 6871 7803 2590 2823 2817
"ENSG00000287899" 1 0 0 0 0 1
"ENSG00000285557" 0 0 0 0 0 0
"ENSG00000220343" 0 0 0 0 0 0
"ENSG00000215606" 0 0 0 0 0 0
"ENSG00000241400" 1 0 0 0 0 0
"ENSG00000236385" 0 0 0 0 0 0
"ENSG00000288111" 0 0 0 0 0 0
"ENSG00000243675" 4 0 0 0 1 1
"ENSG00000261146" 0 0 0 0 0 0
"ENSG00000223387" 0 0 0 0 0 0
"ENSG00000239774" 1 1 0 0 0 0
"ENSG00000249540" 0 0 0 0 0 0
"ENSG00000225552" 0 0 0 0 0 0
"ENSG00000238026" 0 0 0 0 0 0
"ENSG00000241203" 0 0 0 0 0 0
"ENSG00000171757" 14 15 12 6 11 8
"ENSG00000274149" 0 0 0 0 0 0
"ENSG00000132394" 190 118 149 61 39 89
"ENSG00000223715" 0 0 0 0 1 0
"ENSG00000240458" 0 0 0 0 0 0
"ENSG00000250643" 0 1 2 0 4 0
"ENSG00000271052" 5 4 2 2 3 4
"ENSG00000232601" 0 0 0 0 0 0
"ENSG00000163581" 0 3 3 0 4 1
"ENSG00000243044" 0 0 0 0 0 0
"ENSG00000272990" 23 10 18 6 11 10
"ENSG00000118855" 1166 2122 2020 1255 1453 1270
"ENSG00000121871" 0 0 0 0 0 0
"ENSG00000251178" 0 1 0 0 0 0
"ENSG00000249846" 0 8 2 2 2 1
"ENSG00000251058" 0 0 0 0 0 0
"ENSG00000228221" 1 0 0 0 0 0
"ENSG00000233597" 0 0 0 0 2 0
"ENSG00000253540" 14 14 13 14 7 6
"ENSG00000241416" 0 0 0 0 0 0
"ENSG00000241383" 0 0 0 0 0 0
"ENSG00000168811" 18 19 32 1 16 3
"ENSG00000114120" 978 1289 1371 624 597 680
"ENSG00000172752" 0 0 0 0 0 0
"ENSG00000136603" 6464 7003 8210 4287 4503 5030
"ENSG00000169860" 260 400 430 127 152 95
"ENSG00000226782" 0 0 0 0 0 0
"ENSG00000114248" 1 2 4 0 1 2
"ENSG00000241429" 2 0 1 0 0 0
"ENSG00000244738" 0 0 0 0 0 0
"ENSG00000230292" 0 0 0 0 0 0
"ENSG00000288104" 0 0 0 0 0 0
"ENSG00000239739" 0 0 0 0 0 0
"ENSG00000114416" 2034 2465 2762 1450 1534 1453
"ENSG00000273177" 0 0 0 0 0 0
"ENSG00000214192" 19 46 33 16 31 27
"ENSG00000120742" 4630 7231 7855 3752 4102 3911
"ENSG00000227440" 21 39 21 13 14 9
"ENSG00000249986" 1 7 5 4 9 0
"ENSG00000154310" 116 73 99 70 68 75
"ENSG00000068885" 351 590 594 343 384 329
"ENSG00000242107" 0 0 0 0 0 0
"ENSG00000223930" 0 0 0 0 0 0
"ENSG00000163558" 2607 3430 4086 1749 2034 1886
"ENSG00000224611" 0 0 0 0 0 0
"ENSG00000243550" 0 1 3 0 0 0
"ENSG00000272247" 3 9 2 3 3 2
"ENSG00000272087" 0 0 0 0 0 0
"ENSG00000241696" 0 0 0 0 0 0
"ENSG00000242268" 0 0 0 0 0 0
"ENSG00000114054" 922 1305 1335 802 795 747
"ENSG00000241882" 0 0 0 0 0 0
"ENSG00000177694" 6 9 11 6 12 15
"ENSG00000226765" 0 0 0 0 0 0
"ENSG00000270096" 0 0 0 0 0 0
"ENSG00000237645" 0 0 0 0 0 0
"ENSG00000244039" 0 0 0 0 0 0
"ENSG00000270321" 0 0 0 0 0 0
"ENSG00000260217" 0 0 0 0 0 0
"ENSG00000243273" 0 0 0 0 0 0
"ENSG00000243832" 0 0 0 0 0 0
"ENSG00000248243" 0 1 0 0 0 0
"ENSG00000285558" 0 0 0 0 0 0
"ENSG00000043093" 1728 2245 2735 1041 1159 1213
"ENSG00000224426" 0 0 0 0 0 0
"ENSG00000242012" 0 0 0 0 0 0
"ENSG00000239205" 0 0 0 0 0 0
"ENSG00000152952" 10573 13395 14998 6744 7788 7971
"ENSG00000270141" 0 0 4 2 1 0
"ENSG00000241473" 0 0 0 0 0 0
"ENSG00000205955" 0 0 0 0 0 0
"ENSG00000237473" 0 0 0 0 0 0
"ENSG00000287012" 0 0 3 0 0 0
"ENSG00000273486" 6 3 2 0 1 6
"ENSG00000241899" 0 0 0 0 0 0
"ENSG00000284731" 1 6 3 3 0 1
"ENSG00000238837" 0 0 0 0 0 0
"ENSG00000213155" 0 0 0 0 0 0
"ENSG00000242068" 0 0 0 0 0 0
"ENSG00000240084" 0 0 0 0 0 0
"ENSG00000236686" 0 0 0 0 0 0
"ENSG00000078070" 224 275 294 214 233 192
"ENSG00000008952" 2758 2769 3314 1316 1491 1709
"ENSG00000173230" 1510 782 1119 732 807 926
"ENSG00000242908" 15 6 7 6 9 7
"ENSG00000238755" 0 1 0 0 0 0
"ENSG00000285051" 0 0 1 1 0 0
"ENSG00000213178" 125 235 283 137 168 141
"ENSG00000243885" 4 2 5 3 1 1
"ENSG00000250580" 0 0 0 0 0 0
"ENSG00000240478" 0 0 0 0 0 0
"ENSG00000244193" 0 0 0 0 0 0
"ENSG00000181449" 44 113 91 98 84 46
"ENSG00000058063" 1315 1351 1535 873 954 979
"ENSG00000286827" 0 0 0 0 0 0
"ENSG00000240032" 82 77 86 38 41 43
"ENSG00000235110" 0 0 0 0 0 0
"ENSG00000174953" 2323 1318 1791 582 676 984
"ENSG00000231310" 21 10 10 5 9 6
"ENSG00000236893" 0 0 0 0 0 0
"ENSG00000248724" 0 0 0 0 0 0
"ENSG00000184378" 61 82 87 41 49 31
"ENSG00000283154" 137 227 221 123 155 117
"ENSG00000242140" 0 0 0 0 0 0
"ENSG00000225790" 3 1 1 6 1 1
"ENSG00000250271" 41 68 66 65 88 58
"ENSG00000205412" 0 0 0 0 0 0
"ENSG00000275348" 1 0 3 0 0 0
"ENSG00000243072" 0 0 0 0 0 0
"ENSG00000226779" 0 0 0 0 0 0
"ENSG00000286913" 2 2 2 0 0 0
"ENSG00000237978" 0 0 0 0 0 0
"ENSG00000085276" 8 11 16 7 14 11
"ENSG00000073111" 1572 1898 2112 488 499 413
"ENSG00000240137" 27 26 46 25 24 16
"ENSG00000236241" 0 0 0 0 0 0
"ENSG00000240665" 1 0 0 0 0 0
"ENSG00000073803" 448 600 626 290 406 388
"ENSG00000287977" 0 0 0 0 0 0
"ENSG00000241526" 0 0 0 0 0 0
"ENSG00000286003" 0 0 0 0 0 0
"ENSG00000286695" 0 0 0 1 0 0
"ENSG00000197415" 3 9 3 9 4 5
"ENSG00000138463" 908 1313 1388 816 919 805
"ENSG00000232374" 0 0 0 0 0 0
"ENSG00000242808" 0 0 0 0 0 0
"ENSG00000161202" 227 111 147 58 62 107
"ENSG00000241946" 0 0 0 0 0 0
"ENSG00000287706" 0 1 0 0 0 0
"ENSG00000144893" 114 97 122 32 44 51
"ENSG00000175040" 16 27 26 9 3 5
"ENSG00000239516" 0 1 0 0 0 0
"ENSG00000241202" 0 0 0 0 0 0
"ENSG00000169760" 0 0 2 0 0 1
"ENSG00000153767" 654 876 1001 405 478 430
"ENSG00000082684" 8 11 11 9 7 16
"ENSG00000078081" 1 3 7 0 2 0
"ENSG00000231516" 0 0 0 0 0 0
"ENSG00000213169" 0 0 0 0 0 0
"ENSG00000175054" 2940 3767 4100 1418 1788 1493
"ENSG00000284862" 14 12 13 4 8 4
"ENSG00000175077" 0 0 0 0 0 0
"ENSG00000273181" 1 2 3 0 0 1
"ENSG00000269889" 5 15 17 6 10 12
"ENSG00000238020" 0 0 0 0 0 0
"ENSG00000173226" 293 364 404 199 240 202
"ENSG00000270554" 1 2 0 2 2 0
"ENSG00000235294" 0 0 0 0 0 0
"ENSG00000242097" 1 0 0 0 0 0
"ENSG00000288032" 26 5 6 0 2 2
"ENSG00000234371" 0 0 0 0 2 0
"ENSG00000271711" 6 0 0 1 0 0
"ENSG00000285798" 0 0 0 0 0 0
"ENSG00000223941" 0 0 0 0 0 0
"ENSG00000243486" 0 0 0 0 0 0
"ENSG00000230362" 0 0 0 0 0 0
"ENSG00000169359" 489 686 743 375 489 439
"ENSG00000213174" 0 0 0 0 0 0
"ENSG00000228561" 0 0 0 1 0 0
"ENSG00000243593" 0 0 0 0 0 0
"ENSG00000243886" 0 0 0 0 0 0
"ENSG00000244346" 0 0 0 0 0 0
"ENSG00000145075" 0 0 0 0 0 0
"ENSG00000250170" 3 0 1 0 0 1
"ENSG00000270981" 0 0 0 0 0 0
"ENSG00000242816" 3 0 1 0 0 0
"ENSG00000228213" 0 0 0 0 0 0
"ENSG00000279305" 0 0 0 0 0 0
"ENSG00000242479" 0 0 0 0 0 0
"ENSG00000287605" 0 0 0 0 0 0
"ENSG00000240246" 0 0 0 0 0 0
"ENSG00000244247" 0 0 0 0 0 0
"ENSG00000241098" 0 1 0 0 0 0
"ENSG00000243687" 3 0 1 0 0 3
"ENSG00000197584" 0 0 0 0 0 1
"ENSG00000178084" 0 0 0 0 0 1
"ENSG00000241810" 0 0 0 0 0 0
"ENSG00000250161" 0 0 0 0 0 0
"ENSG00000213264" 0 0 0 0 0 0
"ENSG00000198843" 2786 5474 5658 1665 1868 1647
"ENSG00000243368" 6 1 1 0 1 2
"ENSG00000237806" 0 0 0 0 0 0
"ENSG00000243378" 0 0 0 0 0 0
"ENSG00000243187" 0 1 0 0 0 0
"ENSG00000206199" 3 6 3 5 3 3
"ENSG00000214210" 0 0 0 0 0 0
"ENSG00000241985" 5 4 5 0 0 3
"ENSG00000231574" 6 2 15 6 0 2
"ENSG00000213371" 0 0 1 2 1 2
"ENSG00000169903" 1403 1905 2201 885 969 895
"ENSG00000242001" 0 0 0 0 0 0
"ENSG00000239805" 0 0 0 0 0 0
"ENSG00000236182" 0 0 1 0 1 0
"ENSG00000182000" 1 0 5 0 0 1
"ENSG00000121853" 0 0 4 0 0 0
"ENSG00000240033" 0 0 0 0 0 0
"ENSG00000287207" 0 0 0 0 3 0
"ENSG00000244668" 0 0 0 0 0 0
"ENSG00000227709" 0 1 0 0 0 0
"ENSG00000163840" 1587 1231 1596 877 918 1075
"ENSG00000241673" 0 0 0 0 0 0
"ENSG00000230457" 85 94 128 32 43 21
"ENSG00000242510" 6 2 1 1 0 2
"ENSG00000272758" 31 33 42 26 30 29
"ENSG00000174948" 0 0 0 0 0 0
"ENSG00000241684" 10 11 11 10 5 2
"ENSG00000242512" 0 0 2 0 0 0
"ENSG00000242561" 0 0 0 0 0 0
"ENSG00000163659" 1262 1453 1639 467 617 661
"ENSG00000229638" 399 628 604 261 316 279
"ENSG00000240068" 0 0 0 0 0 0
"ENSG00000170893" 0 2 0 0 0 0
"ENSG00000241570" 7 5 5 1 6 3
"ENSG00000239978" 0 0 0 0 0 0
"ENSG00000013293" 0 0 0 0 0 2
"ENSG00000285336" 0 0 0 0 0 0
"ENSG00000243629" 0 1 3 0 0 0
"ENSG00000237787" 0 0 0 0 0 0
"ENSG00000236357" 0 0 0 0 0 0
"ENSG00000287366" 0 0 0 0 0 0
"ENSG00000277241" 0 0 0 0 0 0
"ENSG00000271131" 0 0 0 0 0 0
"ENSG00000225473" 0 0 0 0 0 0
"ENSG00000249993" 0 0 0 0 0 0
"ENSG00000226482" 0 0 0 0 0 0
"ENSG00000242953" 0 0 0 0 0 0
"ENSG00000273261" 1 6 3 4 3 3
"ENSG00000113805" 0 0 0 0 0 0
"ENSG00000233885" 15 24 33 17 22 6
"ENSG00000240602" 397 463 585 374 377 370
"ENSG00000240489" 13 17 30 3 6 3
"ENSG00000240497" 6 7 1 3 1 0
"ENSG00000241151" 0 0 1 0 0 0
"ENSG00000224855" 7 5 6 1 2 5
"ENSG00000272721" 5 3 3 0 3 5
"ENSG00000157005" 0 0 0 0 0 0
"ENSG00000286585" 1 6 5 1 3 1
"ENSG00000178075" 20 16 25 19 18 11
"ENSG00000168038" 165 199 201 122 120 126
"ENSG00000244564" 0 0 0 0 0 0
"ENSG00000073711" 427 452 515 245 319 358
"ENSG00000158258" 82 65 76 19 17 13
"ENSG00000238077" 0 0 0 0 0 0
"ENSG00000244199" 0 0 0 0 0 0
"ENSG00000187527" 0 0 0 0 0 0
"ENSG00000286361" 0 0 0 0 0 0
"ENSG00000114796" 448 493 523 668 718 783
"ENSG00000285619" 0 3 2 0 1 0
"ENSG00000136514" 0 0 0 0 0 1
"ENSG00000285938" 2 5 7 0 6 4
"ENSG00000243944" 0 0 1 0 0 0
"ENSG00000244503" 15 10 18 7 4 12
"ENSG00000240373" 7 2 8 1 1 4
"ENSG00000224769" 2 0 0 0 0 3
"ENSG00000241313" 11 48 40 27 18 15
"ENSG00000225742" 0 0 0 1 0 0
"ENSG00000144730" 218 228 211 112 118 122
"ENSG00000161204" 409 442 561 229 323 223
"ENSG00000138246" 2494 2628 3004 1193 1461 1393
"ENSG00000244327" 0 1 0 0 0 0
"ENSG00000233576" 0 0 0 0 0 0
"ENSG00000203645" 9 9 9 3 1 4
"ENSG00000205981" 314 612 679 285 370 338
"ENSG00000241101" 12 4 4 12 2 2
"ENSG00000275163" 0 0 0 0 0 0
"ENSG00000241671" 0 0 0 0 0 0
"ENSG00000236297" 0 0 0 0 0 0
"ENSG00000242017" 1 1 1 1 1 0
"ENSG00000240776" 0 0 0 0 0 0
"ENSG00000273370" 0 0 0 0 0 0
"ENSG00000223986" 0 0 0 0 0 0
"ENSG00000286453" 0 0 0 0 0 0
"ENSG00000113924" 1291 2517 2908 3075 3382 3143
"ENSG00000260377" 0 0 0 0 0 0
"ENSG00000242536" 0 0 2 0 0 0
"ENSG00000230115" 0 0 0 0 0 0
"ENSG00000163389" 461 593 649 274 293 292
"ENSG00000179170" 0 0 0 0 0 0
"ENSG00000287005" 4 5 3 0 4 3
"ENSG00000155890" 0 0 0 0 0 0
"ENSG00000196083" 213 348 344 128 159 135
"ENSG00000058866" 308 303 386 158 147 176
"ENSG00000172578" 0 0 0 0 1 0
"ENSG00000241231" 0 1 0 0 0 0
"ENSG00000271413" 0 3 0 0 0 0
"ENSG00000241022" 0 0 0 0 0 0
"ENSG00000230454" 12 12 20 17 13 19
"ENSG00000260234" 0 0 0 0 0 0
"ENSG00000228308" 0 0 0 0 0 0
"ENSG00000223513" 0 0 0 0 0 0
"ENSG00000230215" 0 0 0 0 0 0
"ENSG00000114331" 2089 2889 3153 1417 1577 1404
"ENSG00000240875" 30 28 43 14 23 36
"ENSG00000271662" 2 1 2 3 0 2
"ENSG00000241947" 0 0 0 0 0 0
"ENSG00000136527" 4077 6237 7026 2252 2404 2131
"ENSG00000239926" 42 11 22 6 16 14
"ENSG00000214301" 0 0 0 0 0 0
"ENSG00000174912" 19 25 18 13 6 8
"ENSG00000163638" 968 841 1096 528 478 543
"ENSG00000234594" 0 0 0 0 0 0
"ENSG00000176597" 196 257 231 171 204 202
"ENSG00000282206" 1 0 1 1 0 2
"ENSG00000188958" 5 6 8 4 3 7
"ENSG00000286870" 0 0 0 0 0 0
"ENSG00000240048" 1 0 2 3 1 0
"ENSG00000182606" 847 699 849 565 617 599
"ENSG00000234805" 0 1 2 0 2 0
"ENSG00000114626" 179 197 217 133 127 168
"ENSG00000213157" 0 0 0 0 0 0
"ENSG00000224187" 0 0 0 0 1 0
"ENSG00000173905" 536 429 600 233 304 309
"ENSG00000229863" 0 0 0 0 0 0
"ENSG00000235897" 8 18 12 5 8 3
"ENSG00000287398" 0 0 0 0 0 0
"ENSG00000145113" 0 0 1 0 0 0
"ENSG00000244265" 5 7 11 7 4 6
"ENSG00000224049" 0 0 0 0 0 0
"ENSG00000240596" 0 0 0 0 0 0
"ENSG00000227267" 0 0 0 0 0 0
"ENSG00000273308" 0 0 0 0 0 0
"ENSG00000238031" 0 0 0 0 0 0
"ENSG00000243069" 0 3 2 2 0 0
"ENSG00000279673" 23 73 55 23 32 22
"ENSG00000230077" 1 0 4 0 0 0
"ENSG00000152492" 1949 2637 2894 1185 1480 1258
"ENSG00000114315" 567 955 896 492 606 475
"ENSG00000175066" 558 561 645 279 288 328
"ENSG00000213123" 25 23 23 24 25 23
"ENSG00000286086" 4 2 0 2 2 3
"ENSG00000113790" 387 380 431 305 322 312
"ENSG00000241770" 0 0 0 1 0 0
"ENSG00000286017" 0 0 0 0 0 0
"ENSG00000229325" 0 5 7 2 0 1
"ENSG00000261826" 0 0 0 0 0 0
"ENSG00000286624" 0 0 0 0 0 0
"ENSG00000229178" 11 16 17 10 19 5
"ENSG00000198491" 0 0 0 0 0 0
"ENSG00000234270" 0 0 0 0 0 0
"ENSG00000197980" 32 49 40 36 38 22
"ENSG00000173200" 0 0 0 0 1 0
"ENSG00000240541" 21 52 49 27 35 25
"ENSG00000242086" 268 383 379 211 245 231
"ENSG00000163959" 21 10 12 11 12 21
"ENSG00000163728" 551 632 734 373 452 400
"ENSG00000280270" 0 0 0 0 1 1
"ENSG00000236489" 3 0 0 1 0 0
"ENSG00000239381" 0 0 0 0 0 0
"ENSG00000240063" 0 1 0 2 1 0
"ENSG00000206384" 15 1 4 5 0 3
"ENSG00000114770" 169 153 228 88 74 95
"ENSG00000145191" 763 990 1185 477 589 427
"ENSG00000214145" 70 124 120 98 87 85
"ENSG00000051382" 1218 624 1007 326 373 552
"ENSG00000228271" 0 0 1 0 2 1
"ENSG00000235126" 0 0 0 0 0 1
"ENSG00000286909" 3 1 4 2 2 1
"ENSG00000230304" 0 0 0 0 0 0
"ENSG00000144736" 917 1247 1415 431 540 510
"ENSG00000286501" 0 0 0 0 0 0
"ENSG00000214146" 7 11 12 9 11 15
"ENSG00000231888" 2 0 3 0 0 1
"ENSG00000225058" 0 1 4 0 3 1
"ENSG00000198471" 0 0 0 0 0 0
"ENSG00000233308" 0 0 0 0 0 0
"ENSG00000223882" 0 0 1 0 0 0
"ENSG00000236864" 0 0 0 0 0 0
"ENSG00000230401" 0 0 0 0 0 0
"ENSG00000273455" 0 0 2 0 0 0
"ENSG00000276407" 0 0 1 0 0 0
"ENSG00000244541" 0 0 0 0 0 0
"ENSG00000228952" 16 19 20 8 11 9
"ENSG00000234742" 14 21 34 19 10 12
"ENSG00000161217" 683 346 537 229 232 300
"ENSG00000243861" 0 0 0 0 0 0
"ENSG00000233987" 0 0 0 0 0 0
"ENSG00000226435" 0 0 0 0 0 0
"ENSG00000232874" 2 0 3 0 3 0
"ENSG00000186001" 624 675 704 392 432 375
"ENSG00000241879" 0 0 0 0 0 0
"ENSG00000233487" 0 0 0 0 0 0
"ENSG00000174013" 715 823 921 297 311 247
"ENSG00000163915" 3 0 2 0 0 0
"ENSG00000237418" 0 4 0 0 0 0
"ENSG00000197099" 7 5 3 2 0 4
"ENSG00000236425" 0 0 0 0 1 0
"ENSG00000227433" 0 0 0 0 0 0
"ENSG00000163864" 76 111 152 90 126 126
"ENSG00000235943" 0 0 0 0 0 0
"ENSG00000240452" 0 0 0 0 0 2
"ENSG00000226345" 1 0 1 0 0 2
"ENSG00000244706" 0 0 0 0 0 0
"ENSG00000236246" 0 0 0 0 0 0
"ENSG00000215837" 0 0 0 0 0 0
"ENSG00000236833" 0 0 2 0 2 0
"ENSG00000279891" 16 2 6 1 0 1
"ENSG00000225770" 0 0 0 0 0 0
"ENSG00000113916" 95 68 82 68 70 115
"ENSG00000163872" 564 494 599 327 374 410
"ENSG00000122068" 1557 2326 2595 1162 1286 1208
"ENSG00000163904" 416 372 459 222 227 232
"ENSG00000161267" 41 71 74 32 24 27
"ENSG00000186090" 0 0 0 0 0 0
"ENSG00000127252" 5 11 9 0 5 2
"ENSG00000227375" 1 10 9 8 3 4
"ENSG00000213113" 0 0 0 0 0 0
"ENSG00000253548" 0 0 0 0 0 0
"ENSG00000237167" 0 0 0 0 0 0
"ENSG00000238043" 2 1 2 3 5 3
"ENSG00000236412" 1 1 2 1 0 1
"ENSG00000228730" 0 0 0 0 0 0
"ENSG00000114473" 69 106 113 63 68 60
"ENSG00000228205" 0 1 1 0 0 3
"ENSG00000283175" 0 0 0 0 0 0
"ENSG00000233441" 0 0 0 0 0 0
"ENSG00000229912" 0 0 4 0 0 0
"ENSG00000287286" 0 0 0 0 0 1
"ENSG00000232783" 0 0 0 0 0 0
"ENSG00000184203" 1239 2215 2162 1134 1133 1038
"ENSG00000223529" 0 0 0 0 0 0
"ENSG00000229964" 0 0 0 0 0 0
"ENSG00000230102" 2 3 2 0 1 2
"ENSG00000234136" 7 8 8 0 1 2
"ENSG00000225822" 2 1 1 0 2 2
"ENSG00000287073" 0 0 0 0 0 0
"ENSG00000163961" 493 281 426 141 140 159
"ENSG00000225764" 6 2 2 3 1 1
"ENSG00000273331" 0 0 0 0 0 0
"ENSG00000228028" 0 0 0 0 0 1
"ENSG00000273375" 4 1 1 0 1 1
"ENSG00000171658" 47 30 50 29 23 35
"ENSG00000286661" 0 0 0 0 0 0
"ENSG00000272989" 0 0 0 0 0 0
"ENSG00000234238" 0 0 0 0 1 1
"ENSG00000224652" 0 0 0 0 0 0
"ENSG00000236438" 5 1 3 1 1 0
"ENSG00000163958" 0 1 0 0 1 0
"ENSG00000239706" 0 0 0 0 0 0
"ENSG00000145016" 216 163 252 85 88 96
"ENSG00000114503" 255 162 218 82 88 125
"ENSG00000163900" 583 614 703 317 327 339
"ENSG00000238097" 0 0 0 0 0 0
"ENSG00000232610" 0 0 0 0 1 0
"ENSG00000214135" 119 106 135 64 76 68
"ENSG00000173950" 569 715 921 311 370 323
"ENSG00000163975" 656 835 983 302 387 323
"ENSG00000180611" 262 368 391 146 174 130
"ENSG00000223812" 0 0 0 0 2 0
"ENSG00000223711" 0 1 0 0 1 0
"ENSG00000224563" 4 1 3 2 3 2
"ENSG00000119231" 1420 1924 2098 931 1082 944
"ENSG00000225240" 0 0 0 0 0 0
"ENSG00000090530" 399 220 283 142 152 183
"ENSG00000182899" 4645 11639 12074 6650 7758 6906
"ENSG00000189058" 2 5 0 2 1 0
"ENSG00000176945" 2 3 0 2 0 1
"ENSG00000287206" 1 0 0 3 0 0
"ENSG00000213519" 0 0 0 0 0 0
"ENSG00000273013" 1 0 3 1 2 0
"ENSG00000185798" 89 113 150 57 48 68
"ENSG00000283765" 1 0 2 0 0 2
"ENSG00000228109" 18 18 19 11 11 11
"ENSG00000287941" 0 0 0 0 0 0
"ENSG00000270170" 139 369 329 165 218 155
"ENSG00000225578" 1 4 4 2 0 0
"ENSG00000236844" 0 0 0 0 0 0
"ENSG00000283426" 0 0 0 0 0 0
"ENSG00000226008" 0 0 0 0 0 0
"ENSG00000230732" 10 2 0 1 0 0
"ENSG00000272741" 0 0 0 0 0 0
"ENSG00000249626" 1 0 0 0 2 0
"ENSG00000185621" 111 74 114 63 79 80
"ENSG00000188001" 12 27 52 29 46 12
"ENSG00000237222" 0 2 6 1 4 0
"ENSG00000236508" 0 0 0 0 0 0
"ENSG00000214147" 0 0 0 0 0 0
"ENSG00000196542" 1 9 6 3 5 6
"ENSG00000286755" 0 0 0 0 0 2
"ENSG00000234076" 1 4 5 7 4 5
"ENSG00000243518" 4 0 2 0 2 1
"ENSG00000229155" 9 8 16 16 16 9
"ENSG00000163960" 1333 818 1101 544 530 694
"ENSG00000228766" 0 0 0 0 0 0
"ENSG00000242152" 2 1 1 0 0 5
"ENSG00000232832" 0 0 0 0 0 0
"ENSG00000119227" 24 43 51 17 37 24
"ENSG00000244268" 4 12 9 8 1 3
"ENSG00000240477" 0 0 1 0 0 0
"ENSG00000181092" 0 0 0 0 0 0
"ENSG00000127249" 0 1 1 2 0 0
"ENSG00000239508" 14 1 0 2 1 7
"ENSG00000240567" 0 0 0 0 0 0
"ENSG00000070087" 4032 5752 6399 2761 2907 2975
"ENSG00000163781" 2529 3350 3596 1159 1327 1182
"ENSG00000242925" 2 2 8 1 3 1
"ENSG00000237483" 7 0 0 3 0 2
"ENSG00000224403" 0 1 0 1 0 0
"ENSG00000239212" 3 1 3 0 1 1
"ENSG00000205835" 0 0 0 0 2 3
"ENSG00000214097" 0 1 0 0 0 0
"ENSG00000214919" 0 5 2 3 1 1
"ENSG00000227971" 0 0 0 0 0 0
"ENSG00000250543" 0 0 0 0 0 0
"ENSG00000241307" 1 3 1 0 5 2
"ENSG00000240601" 0 0 0 0 0 0
"ENSG00000243584" 0 0 0 0 0 0
"ENSG00000244405" 1003 895 1142 385 393 383
"ENSG00000174928" 61 82 114 69 58 56
"ENSG00000249725" 0 0 0 0 0 0
"ENSG00000243176" 27 33 39 23 31 14
"ENSG00000181467" 1248 1502 1625 698 769 731
"ENSG00000241634" 21 5 4 3 7 2
"ENSG00000240024" 151 260 236 146 212 184
"ENSG00000213358" 0 1 1 0 0 0
"ENSG00000251471" 0 1 0 0 0 0
"ENSG00000284952" 5 0 2 0 0 0
"ENSG00000243321" 0 0 0 0 0 0
"ENSG00000234197" 5 14 6 1 2 4
"ENSG00000271682" 0 0 0 0 0 0
"ENSG00000286317" 0 0 0 0 0 0
"ENSG00000229619" 11 9 4 4 0 4
"ENSG00000243033" 0 0 0 0 0 0
"ENSG00000243926" 18 27 22 30 29 43
"ENSG00000270959" 72 81 75 65 73 60
"ENSG00000182580" 23 17 15 14 6 11
"ENSG00000272146" 4 4 14 0 2 4
"ENSG00000243759" 0 0 2 0 1 0
"ENSG00000168374" 4094 5823 6325 3127 3337 3248
"ENSG00000232130" 0 0 0 0 0 0
"ENSG00000233303" 0 0 0 0 0 0
"ENSG00000239263" 0 0 0 0 0 0
"ENSG00000286856" 0 2 0 1 0 0
"ENSG00000163898" 394 407 458 305 339 377
"ENSG00000163577" 603 1020 1065 370 430 385
"ENSG00000230266" 5 0 0 0 0 0
"ENSG00000242522" 1 1 5 5 4 2
"ENSG00000228804" 0 0 3 3 1 0
"ENSG00000145088" 24 51 29 5 9 10
"ENSG00000236229" 2 1 0 0 0 0
"ENSG00000121542" 402 640 758 308 369 341
"ENSG00000153283" 2 4 0 0 3 1
"ENSG00000287805" 0 1 1 0 0 0
"ENSG00000251270" 0 0 0 0 0 0
"ENSG00000239661" 0 0 0 0 0 0
"ENSG00000161203" 2757 3991 4280 1586 1757 1543
"ENSG00000286584" 20 10 6 11 20 9
"ENSG00000163714" 3012 3821 4148 1490 1802 1636
"ENSG00000243918" 0 0 0 0 0 0
"ENSG00000252017" 0 0 0 0 0 0
"ENSG00000223040" 0 0 0 0 0 0
"ENSG00000253081" 0 0 0 0 0 0
"ENSG00000207815" 3 0 0 1 4 0
"ENSG00000207163" 0 0 0 0 0 0
"ENSG00000263988" 0 0 0 0 0 0
