"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000243073" 0 1 0 0 0 0
"ENSG00000142615" 0 0 0 0 0 0
"ENSG00000215704" 2 6 0 0 0 0
"ENSG00000065526" 1473 538 916 328 320 510
"ENSG00000175756" 1537 2909 2941 1081 1256 1146
"ENSG00000229484" 0 1 0 0 2 1
"ENSG00000157916" 2240 4169 4497 2170 2395 2182
"ENSG00000157881" 219 430 441 160 175 163
"ENSG00000116213" 221 263 330 103 146 103
"ENSG00000283611" 0 0 0 0 1 0
"ENSG00000238290" 2 8 1 5 2 1
"ENSG00000225387" 0 0 0 0 0 0
"ENSG00000127463" 1689 1180 1636 439 556 681
"ENSG00000048707" 1666 703 1212 564 531 828
"ENSG00000158748" 15 11 12 1 1 5
"ENSG00000235643" 0 0 0 0 4 0
"ENSG00000225196" 0 0 0 0 0 0
"ENSG00000130762" 110 210 275 86 108 105
"ENSG00000187144" 7 6 1 0 2 1
"ENSG00000162444" 0 0 0 0 0 0
"ENSG00000279169" 0 0 0 0 0 0
"ENSG00000279625" 0 0 0 0 0 0
"ENSG00000180758" 302 317 393 197 195 185
"ENSG00000231219" 0 0 0 0 0 0
"ENSG00000229010" 0 1 4 0 2 0
"ENSG00000184677" 550 444 534 305 308 305
"ENSG00000230679" 4 14 4 10 10 3
"ENSG00000270136" 0 0 0 0 0 0
"ENSG00000132879" 174 394 400 235 251 224
"ENSG00000187545" 0 0 0 1 0 0
"ENSG00000288398" 83 166 155 75 80 78
"ENSG00000224621" 2 5 2 0 0 0
"ENSG00000239810" 0 0 0 0 0 0
"ENSG00000285833" 0 0 0 0 0 0
"ENSG00000224459" 0 0 0 0 0 0
"ENSG00000116731" 593 287 370 150 119 211
"ENSG00000116721" 0 0 0 0 0 0
"ENSG00000215785" 0 0 0 0 0 0
"ENSG00000131697" 178 208 240 111 100 94
"ENSG00000284692" 0 0 0 0 0 0
"ENSG00000284745" 0 0 0 0 0 0
"ENSG00000225952" 1 1 0 0 0 0
"ENSG00000280222" 0 0 0 0 0 0
"ENSG00000088280" 209 347 324 138 184 173
"ENSG00000188807" 557 356 512 92 105 123
"ENSG00000284693" 1 13 4 3 2 4
"ENSG00000232298" 0 0 0 0 0 0
"ENSG00000227634" 5 10 6 8 7 8
"ENSG00000225315" 0 1 10 4 0 2
"ENSG00000198793" 1714 986 1637 583 625 742
"ENSG00000078900" 5 13 7 9 4 3
"ENSG00000142661" 270 325 296 236 226 179
"ENSG00000285945" 0 0 0 0 0 0
"ENSG00000171819" 9 1 8 2 4 2
"ENSG00000229162" 0 0 0 0 0 0
"ENSG00000197921" 0 0 0 0 0 0
"ENSG00000233755" 0 0 0 0 0 0
"ENSG00000116288" 2072 4737 4860 2244 2543 2153
"ENSG00000238164" 0 0 0 0 0 0
"ENSG00000233929" 1 1 4 0 0 0
"ENSG00000287810" 0 0 0 0 0 0
"ENSG00000271742" 0 0 0 0 0 0
"ENSG00000142677" 37 28 44 23 11 33
"ENSG00000131910" 0 0 0 0 0 1
"ENSG00000185436" 58 76 82 41 48 42
"ENSG00000131914" 1 0 1 0 0 0
"ENSG00000226396" 2 1 7 0 2 1
"ENSG00000232423" 0 0 0 0 0 0
"ENSG00000229247" 0 0 0 0 0 0
"ENSG00000169504" 3488 4819 5428 2230 2477 2507
"ENSG00000224311" 0 0 0 0 0 0
