"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Gene" "condition"
319.129227806543 -0.6343051502017 0.178262673979465 -3.55826116618653 0.000373318027098325 0.0188836702040569 "PHF13" "timepoint_3h_vs_0h"
838.63858421951 -0.358743434431134 0.110418501564406 -3.24894315126966 0.00115834625163261 0.0378601017168226 "TMEM51" "timepoint_3h_vs_0h"
406.546900527346 -0.360808887021555 0.103671995501236 -3.48029267959111 0.000500866298604736 0.0235591981856626 "TPRG1L" "timepoint_3h_vs_0h"
229.308808907752 -0.599624930593013 0.147762001606791 -4.05804553317213 4.94851210632882e-05 0.00450562027281239 "GPR157" "timepoint_3h_vs_0h"
563.015730811437 -0.359536801684861 0.104415303166461 -3.44333436557361 0.000574588437319231 0.0249125129609124 "EYA3" "timepoint_3h_vs_0h"
2084.82550815833 -0.508692837810667 0.106253419467772 -4.78754321845575 1.68835386990078e-06 0.000321215623576497 "EPHA2" "timepoint_3h_vs_0h"
1135.81356618866 -0.541037616030391 0.114955001075507 -4.70651655837938 2.51985526679542e-06 0.000422639409024227 "IFFO2" "timepoint_3h_vs_0h"
4248.6166221898 -0.320319422196842 0.0817065940791511 -3.92036194638759 8.84160747762004e-05 0.00678939581429052 "TRNP1" "timepoint_3h_vs_0h"
477.806873990789 -1.07983421411383 0.144961222307672 -7.44912464812106 9.39615653186155e-14 1.99621345519399e-10 "CITED4" "timepoint_3h_vs_0h"
703.791684810061 0.645958897199037 0.0884417588869511 7.30377714473907 2.79799669102066e-13 5.09515197434862e-10 "DNAJB4" "timepoint_3h_vs_0h"
511.88233252065 -0.328275581141107 0.0949151963944137 -3.45861983761779 0.000542950672803352 0.0242842722596024 "WDR77" "timepoint_3h_vs_0h"
1778.33267033144 0.289827254338955 0.0654780744251416 4.42632525289519 9.58519635911164e-06 0.00123416664635956 "MAN1A2" "timepoint_3h_vs_0h"
168.567959384542 0.658870597726073 0.19154569769777 3.43975670372753 0.00058223733350243 0.0249891558591094 "BCL2L15" "timepoint_3h_vs_0h"
104.208760903344 -0.826531669657322 0.204630647718758 -4.03913919479598 5.36477228462335e-05 0.00475262858671286 "CDC14A" "timepoint_3h_vs_0h"
942.031212388382 -0.325405356961542 0.0871871033019307 -3.73226480336956 0.000189765855702832 0.012034554043005 "ZBTB7B" "timepoint_3h_vs_0h"
37.8307786701268 0.823893099834881 0.252535832110225 3.26247999323627 0.00110441968184179 0.0367339358715898 "DENND2C" "timepoint_3h_vs_0h"
1737.42532474606 0.425706449340426 0.123180823637955 3.45594741752691 0.000548362282598897 0.0242891740593019 "CFH" "timepoint_3h_vs_0h"
915.284785740328 0.711126879191227 0.107053038901108 6.64275284934361 3.07877864206663e-11 3.01886087310948e-08 "NR5A2" "timepoint_3h_vs_0h"
1292.97561398382 -0.300053177516089 0.0841577418121279 -3.5653663115857 0.000363348340203747 0.0185264051703086 "TARBP1" "timepoint_3h_vs_0h"
56.0211284244995 0.737790369322423 0.234092252333585 3.15170776464255 0.00162318638329295 0.0488294570338094 "LHX9" "timepoint_3h_vs_0h"
2307.07045755609 0.47289751162744 0.139613141194328 3.38719913886338 0.000706101150496305 0.0278850761234608 "PLA2G4A" "timepoint_3h_vs_0h"
668.029042300258 -0.368448868861383 0.116199445370527 -3.1708315619451 0.00152003253802554 0.0464648795256872 "ARHGEF10L" "timepoint_3h_vs_0h"
243.076340701479 -0.458561224995068 0.145933598906845 -3.1422594140763 0.00167649427439746 0.0494682234160749 "RAB29" "timepoint_3h_vs_0h"
1180.47726710234 -0.734667191866432 0.0929354253690025 -7.90513616254961 2.67640884894959e-15 1.13720611991868e-11 "ID3" "timepoint_3h_vs_0h"
1939.5375189633 0.292018147273176 0.089571976821796 3.26015074842155 0.00111353012387499 0.0368679701013884 "ZBTB41" "timepoint_3h_vs_0h"
128.539254516435 0.556599417393509 0.163743863909438 3.39920778772724 0.000675813521167203 0.0272584215504804 "GLUL" "timepoint_3h_vs_0h"
42.3470964070403 -1.02329947011407 0.304795836967425 -3.35732758129317 0.000786998106937877 0.0296425741093266 "MFSD2A" "timepoint_3h_vs_0h"
1224.37736311758 -0.314178416899144 0.0926622111812157 -3.39057759246342 0.000697455080991651 0.027696136814332 "LRRC47" "timepoint_3h_vs_0h"
384.477654806045 -0.332283403916028 0.0958405758118209 -3.46704306710816 0.00052621757119184 0.02421550678694 "RUSC1" "timepoint_3h_vs_0h"
122.884733519279 0.644221635025863 0.192871155444738 3.34016578860827 0.000837283902649805 0.0309358200205132 "SLC5A9" "timepoint_3h_vs_0h"
494.35908150263 0.399434677587429 0.115693529593971 3.45252391373359 0.000555368246523742 0.0242891740593019 "FUCA1" "timepoint_3h_vs_0h"
181.020932028248 0.50019348579014 0.136104314807905 3.67507441991171 0.000237780094324001 0.0137031693392304 "IBA57" "timepoint_3h_vs_0h"
207.627287406687 -0.495219010789052 0.149176742078858 -3.31967975629382 0.000901207641703741 0.0324511124542305 "BTBD8" "timepoint_3h_vs_0h"
4454.24158287479 -0.548990513803274 0.158774458521451 -3.45767523892456 0.000544857759962838 0.0242842722596024 "AGRN" "timepoint_3h_vs_0h"
2548.05313940055 0.730793130775192 0.108683305738296 6.72406057039621 1.76728910226601e-11 2.22639826330048e-08 "SLC30A1" "timepoint_3h_vs_0h"
4292.65174701167 0.245453078950865 0.0593183406611206 4.13789523130987 3.50506343369531e-05 0.00333425698427717 "HP1BP3" "timepoint_3h_vs_0h"
